group_id,state,group_type,num_members,group_age_months,avg_member_age,literacy_rate_pct,avg_monthly_saving_per_member,total_savings_balance,savings_regularity_pct,meeting_attendance_pct,bank_linkage_duration_months,sb_account_active,num_previous_loans,previous_loan_repayment_ontime_pct,num_defaulters_in_group,current_outstanding_loan_amount,purpose_of_loan,requested_loan_amount,group_cohesion_score,internal_lending_active,eligible_for_loan
SHG20000,Tamil Nadu,Mixed SHG,15,40,43.6,49.6,106.34,3507.92,84.1,84.0,35,Yes,2,52.1,0,17090.98,Emergency/Consumption,76000.0,7.0,Yes,0
SHG20001,Tamil Nadu,Women SHG,8,61,59.0,52.0,78.7,2682.31,61.7,90.1,50,Yes,4,75.6,0,13966.45,Education,23000.0,5.4,Yes,1
SHG20002,Karnataka,Women SHG,9,18,42.0,50.2,129.0,1176.73,80.3,67.9,16,Yes,2,67.6,0,26705.45,Small Business,35200.0,6.4,Yes,1
SHG20003,Maharashtra,Women SHG,10,16,33.0,66.9,60.41,486.21,62.1,57.8,11,Yes,3,90.8,0,14090.35,Agriculture,29900.0,3.7,No,1
SHG20004,Karnataka,Women SHG,11,27,41.3,64.6,160.56,2453.06,64.8,76.3,15,Yes,1,86.0,0,15830.47,Agriculture,22000.0,7.4,Yes,0
SHG20005,Karnataka,Mixed SHG,11,61,38.4,73.4,173.17,9462.06,95.5,95.1,48,Yes,2,84.4,0,12112.47,Livestock,44500.0,6.0,Yes,1
SHG20006,West Bengal,Mixed SHG,12,41,55.6,80.8,45.48,1856.28,81.9,76.9,38,Yes,2,57.5,1,20190.91,Agriculture,31300.0,8.3,Yes,1
SHG20007,Uttar Pradesh,Mixed SHG,13,8,38.1,64.5,64.43,490.67,68.5,84.2,5,Yes,1,70.4,0,30911.04,Education,24200.0,6.7,No,1
SHG20008,West Bengal,Women SHG,14,7,36.5,47.1,221.83,1438.81,59.6,78.5,6,Yes,0,,0,0.0,Small Business,44800.0,7.2,Yes,1
SHG20009,Uttar Pradesh,Women SHG,14,33,49.3,40.9,232.02,6959.47,66.1,81.9,22,Yes,3,76.7,0,35994.24,Agriculture,5300.0,6.8,No,1
SHG20010,Karnataka,Women SHG,12,37,40.1,71.4,20.0,579.88,78.2,84.1,27,Yes,1,73.2,1,15105.68,Agriculture,14400.0,7.2,Yes,1
SHG20011,Tamil Nadu,Women SHG,13,43,44.0,90.1,83.66,3719.84,71.0,54.3,33,No,0,,0,0.0,Emergency/Consumption,57900.0,9.2,Yes,0
SHG20012,Tamil Nadu,Women SHG,9,17,37.6,74.7,25.05,227.08,71.4,86.1,12,No,1,47.6,1,17358.9,Home Improvement,67000.0,6.8,No,0
SHG20013,Uttar Pradesh,Mixed SHG,13,23,47.8,79.6,70.99,1569.93,79.4,54.2,14,Yes,0,,0,0.0,Livestock,28300.0,7.4,No,1
SHG20014,Andhra Pradesh,Women SHG,16,38,34.3,43.6,76.64,3392.05,79.5,58.1,32,Yes,1,66.5,0,4568.24,Small Business,46900.0,6.4,No,0
SHG20015,Karnataka,Women SHG,14,69,52.2,35.7,165.19,9553.94,63.7,79.0,46,Yes,2,74.3,0,34444.39,Small Business,36000.0,7.5,Yes,1
SHG20016,Uttar Pradesh,Women SHG,13,14,36.0,53.6,49.16,719.87,57.2,79.1,12,Yes,3,74.6,0,4632.98,Small Business,16400.0,7.1,Yes,1
SHG20017,Maharashtra,Women SHG,16,9,33.4,81.6,103.85,1176.9,82.9,86.8,9,Yes,1,91.2,0,13310.09,Agriculture,50600.0,5.7,Yes,1
SHG20018,Maharashtra,Women SHG,17,107,36.2,70.0,103.8,9581.92,62.7,81.7,91,Yes,0,,0,0.0,Home Improvement,27000.0,8.6,Yes,0
SHG20019,Odisha,Farmer Producer Group,13,58,43.6,59.7,344.6,16334.47,52.6,71.5,45,Yes,1,69.7,0,2201.09,Agriculture,15600.0,8.1,No,1
SHG20020,West Bengal,Women SHG,10,21,30.3,62.3,263.08,4432.57,70.0,68.1,18,Yes,2,94.4,0,29422.82,Education,5000.0,8.6,Yes,1
SHG20021,Telangana,Women SHG,13,15,34.5,48.6,83.08,881.17,90.0,81.8,8,Yes,0,,0,0.0,Small Business,37700.0,6.1,Yes,1
SHG20022,Maharashtra,Women SHG,8,48,55.1,38.5,65.68,1572.78,66.8,95.6,28,Yes,1,67.6,1,12250.86,Agriculture,7000.0,6.4,Yes,1
SHG20023,Karnataka,Women SHG,15,26,39.8,57.6,134.38,4170.43,61.7,40.1,20,Yes,2,80.2,2,20144.55,Agriculture,16200.0,8.8,Yes,1
SHG20024,Tamil Nadu,Mixed SHG,14,11,52.3,61.1,182.23,1602.26,66.2,72.5,10,Yes,4,81.3,1,5591.05,Small Business,36800.0,7.5,Yes,1
SHG20025,Uttar Pradesh,Women SHG,11,6,48.7,63.7,143.05,535.5,63.2,79.7,5,Yes,2,74.2,0,16999.4,Agriculture,27700.0,6.7,Yes,1
SHG20026,Odisha,Women SHG,14,23,41.2,62.7,68.39,1309.87,87.1,75.4,21,No,1,86.4,0,18887.24,Livestock,23400.0,5.7,Yes,0
SHG20027,Tamil Nadu,Mixed SHG,11,94,34.8,33.4,102.21,7813.7,89.9,96.6,72,Yes,2,80.9,0,21801.91,Small Business,14600.0,8.5,No,1
SHG20028,Kerala,Women SHG,14,16,24.3,51.4,182.83,3031.09,84.3,94.6,10,Yes,1,76.6,0,9569.26,Agriculture,15500.0,5.5,No,1
SHG20029,Andhra Pradesh,Women SHG,13,23,24.0,55.3,25.49,630.23,50.4,77.9,14,Yes,0,,0,0.0,Small Business,131300.0,7.5,Yes,1
SHG20030,Tamil Nadu,Farmer Producer Group,15,59,35.5,32.7,90.59,5158.95,56.8,74.3,53,Yes,0,,0,0.0,Small Business,50200.0,7.2,Yes,0
SHG20031,Bihar,Women SHG,13,9,44.4,45.7,161.25,1444.81,51.7,87.7,8,Yes,2,56.0,0,6020.74,Livestock,29100.0,5.0,No,0
SHG20032,West Bengal,Farmer Producer Group,9,20,42.0,70.3,109.14,989.0,68.8,44.1,18,Yes,1,63.9,0,14189.65,Agriculture,5000.0,6.3,No,0
SHG20033,Maharashtra,Women SHG,12,18,31.2,54.6,20.64,331.58,38.1,90.0,16,Yes,0,,0,0.0,Small Business,59200.0,4.9,Yes,0
SHG20034,Maharashtra,Women SHG,20,26,40.4,44.7,87.54,3570.81,49.1,83.9,16,Yes,5,62.1,0,25215.25,Small Business,6100.0,7.6,Yes,1
SHG20035,Bihar,Women SHG,16,31,48.4,42.1,40.54,1563.21,42.4,59.8,19,Yes,1,80.4,0,21792.69,Small Business,25700.0,8.8,Yes,1
SHG20036,West Bengal,Women SHG,9,12,39.8,70.4,174.86,1355.84,71.2,49.9,7,Yes,1,63.9,0,16956.63,Small Business,35200.0,6.0,Yes,1
SHG20037,Karnataka,Women SHG,13,17,40.5,55.9,148.73,2437.07,86.4,63.8,9,Yes,1,79.3,0,9993.61,Emergency/Consumption,38800.0,6.9,No,0
SHG20038,Odisha,Women SHG,9,24,32.3,42.5,67.24,1043.22,60.1,73.2,13,Yes,1,35.6,0,5922.13,Emergency/Consumption,25700.0,8.0,Yes,1
SHG20039,West Bengal,Mixed SHG,12,3,31.8,88.1,288.95,605.83,81.0,83.5,2,No,0,,0,0.0,Emergency/Consumption,38900.0,7.6,Yes,1
SHG20040,Telangana,Women SHG,17,43,36.5,53.5,88.79,4498.99,80.5,60.3,24,Yes,2,87.5,0,2709.5,Small Business,23500.0,8.5,No,1
SHG20041,Tamil Nadu,Women SHG,13,48,51.6,64.0,68.52,3099.12,70.1,74.3,29,Yes,1,89.2,0,7685.83,Emergency/Consumption,55300.0,8.5,No,0
SHG20042,Uttar Pradesh,Farmer Producer Group,9,24,37.4,87.2,188.04,2094.24,75.2,47.3,17,Yes,2,76.5,0,23264.85,Livestock,64100.0,9.1,Yes,1
SHG20043,Tamil Nadu,Mixed SHG,14,53,33.2,73.4,153.64,9277.23,73.4,72.2,34,Yes,1,91.4,0,11011.02,Livestock,29700.0,4.1,Yes,1
SHG20044,Karnataka,Women SHG,8,37,50.3,68.4,20.0,419.17,73.6,95.4,28,Yes,2,45.6,0,17408.53,Small Business,74200.0,7.9,Yes,1
SHG20045,Tamil Nadu,Women SHG,13,67,20.0,65.0,48.78,3298.87,66.2,88.8,37,Yes,2,72.7,0,8869.72,Livestock,65500.0,6.4,Yes,1
SHG20046,Andhra Pradesh,Women SHG,13,47,41.3,50.2,218.16,7225.57,75.5,54.1,30,No,2,49.6,1,25878.32,Livestock,54700.0,8.9,No,1
SHG20047,Bihar,Farmer Producer Group,18,43,47.3,57.4,60.3,3773.57,81.3,77.5,38,No,1,85.0,2,17680.92,Emergency/Consumption,70700.0,7.2,Yes,0
SHG20048,Maharashtra,Farmer Producer Group,15,50,49.2,84.5,65.89,3821.32,73.5,77.4,33,Yes,2,94.1,1,6574.27,Home Improvement,30100.0,8.4,Yes,0
SHG20049,Telangana,Women SHG,14,6,23.8,100.0,133.44,561.5,76.3,58.2,5,Yes,1,59.1,0,16245.61,Agriculture,17500.0,6.4,Yes,1
SHG20050,Kerala,Mixed SHG,14,58,47.0,59.0,110.56,6316.73,52.8,76.5,35,Yes,0,,0,0.0,Small Business,35900.0,5.4,Yes,0
SHG20051,Karnataka,Women SHG,12,5,22.6,78.2,72.06,253.83,36.8,66.0,3,Yes,0,,0,0.0,Agriculture,61300.0,5.7,No,0
SHG20052,Telangana,Women SHG,16,22,40.2,100.0,61.19,1598.49,88.1,77.8,16,No,3,79.6,0,1997.57,Small Business,23500.0,8.1,Yes,1
SHG20053,Odisha,Women SHG,15,25,34.9,62.8,222.27,6448.87,94.3,55.7,15,Yes,1,49.8,0,7717.23,Agriculture,24100.0,6.5,Yes,0
SHG20054,West Bengal,Women SHG,9,8,40.3,48.3,220.22,1082.18,60.0,45.3,5,No,2,79.2,0,5389.55,Home Improvement,29500.0,7.5,Yes,1
SHG20055,Odisha,Women SHG,8,51,40.1,68.7,299.24,8202.16,93.3,83.9,29,Yes,1,64.6,1,14998.97,Small Business,15700.0,7.4,Yes,1
SHG20056,Tamil Nadu,Women SHG,13,11,32.4,39.3,401.18,4277.15,70.4,87.3,9,Yes,3,65.4,0,27161.08,Small Business,38900.0,4.7,Yes,1
SHG20057,Odisha,Women SHG,17,27,39.7,82.9,165.68,4449.06,46.6,92.1,17,Yes,2,77.3,1,4241.88,Education,19900.0,8.4,Yes,1
SHG20058,Tamil Nadu,Women SHG,12,46,31.4,68.8,121.67,3423.3,95.5,74.0,39,Yes,2,90.2,0,14156.26,Livestock,8300.0,7.6,Yes,1
SHG20059,Tamil Nadu,Women SHG,14,65,41.0,55.0,52.57,3850.36,79.6,78.7,59,Yes,0,,0,0.0,Emergency/Consumption,43300.0,8.5,No,1
SHG20060,Tamil Nadu,Women SHG,11,10,29.7,99.8,242.66,1850.08,57.5,88.0,9,Yes,0,,0,0.0,Agriculture,51800.0,8.8,Yes,0
SHG20061,Odisha,Women SHG,13,17,36.9,52.0,222.77,2578.72,70.4,68.8,15,Yes,1,61.2,1,14720.45,Livestock,19300.0,4.2,Yes,1
SHG20062,Karnataka,Mixed SHG,8,29,38.2,53.4,199.08,3834.12,65.6,66.0,16,Yes,1,74.7,0,7517.0,Agriculture,23200.0,7.9,No,1
SHG20063,Karnataka,Women SHG,14,31,25.1,65.2,287.63,8934.58,81.0,91.7,17,Yes,1,74.6,0,7395.17,Agriculture,30000.0,8.8,Yes,1
SHG20064,Odisha,Mixed SHG,16,41,41.1,94.5,139.09,6571.08,90.8,63.7,38,Yes,0,,0,0.0,Livestock,21300.0,8.4,Yes,1
SHG20065,Andhra Pradesh,Farmer Producer Group,14,54,38.2,84.1,115.77,6856.04,94.8,68.7,28,Yes,2,73.2,1,20053.25,Agriculture,53100.0,5.2,Yes,1
SHG20066,Tamil Nadu,Women SHG,10,27,49.9,62.2,485.27,9750.83,48.9,89.8,20,Yes,0,,0,0.0,Agriculture,47600.0,5.6,Yes,1
SHG20067,Maharashtra,Women SHG,15,23,41.0,68.7,87.98,1928.61,65.6,89.4,19,Yes,2,84.9,0,5481.74,Emergency/Consumption,45400.0,6.1,Yes,1
SHG20068,Tamil Nadu,Mixed SHG,11,11,35.1,32.9,221.0,2103.46,39.5,58.7,9,Yes,3,66.4,0,7358.45,Home Improvement,61400.0,8.5,Yes,0
SHG20069,Karnataka,Women SHG,13,17,38.8,68.0,48.89,582.99,83.3,80.0,15,Yes,1,86.6,0,69534.49,Agriculture,18200.0,6.9,Yes,1
SHG20070,Andhra Pradesh,Women SHG,12,38,36.3,62.3,377.12,10062.2,58.2,61.3,31,Yes,2,79.4,0,4702.25,Emergency/Consumption,18200.0,7.6,Yes,0
SHG20071,West Bengal,Women SHG,13,57,31.3,27.4,251.48,12958.02,84.2,86.0,38,No,2,69.3,1,35839.93,Agriculture,20400.0,9.0,No,1
SHG20072,Tamil Nadu,Women SHG,18,44,42.7,47.6,176.26,9817.04,68.8,91.3,41,Yes,4,79.1,0,8111.55,Small Business,5300.0,7.0,No,1
SHG20073,Kerala,Women SHG,13,7,27.5,74.1,341.78,1971.48,75.1,46.8,5,Yes,2,82.1,0,7849.51,Agriculture,48200.0,6.8,No,1
SHG20074,Kerala,Women SHG,14,37,39.8,82.1,76.3,2206.23,81.8,94.2,20,Yes,1,69.9,0,11377.75,Agriculture,22900.0,10.0,No,1
SHG20075,Andhra Pradesh,Women SHG,15,81,44.3,80.2,53.08,4354.29,91.5,50.7,68,Yes,1,92.0,0,6892.27,Small Business,7100.0,8.3,Yes,1
SHG20076,Maharashtra,Women SHG,9,35,36.9,77.3,54.85,1161.86,72.1,79.7,28,Yes,2,72.1,0,8447.98,Small Business,8400.0,6.2,Yes,1
SHG20077,Telangana,Women SHG,17,39,54.2,69.5,20.0,1104.71,93.9,84.2,35,Yes,2,41.6,0,25777.56,Small Business,14200.0,7.4,Yes,1
SHG20078,Andhra Pradesh,Women SHG,15,44,36.0,43.9,143.6,5206.43,58.3,79.4,28,Yes,0,,0,0.0,Emergency/Consumption,9600.0,5.3,Yes,1
SHG20079,Andhra Pradesh,Women SHG,9,21,44.6,43.7,39.65,573.31,44.3,85.9,16,No,2,72.5,1,9983.69,Small Business,18400.0,5.9,Yes,0
SHG20080,Karnataka,Women SHG,9,28,34.4,57.2,157.4,1985.25,92.8,69.4,21,Yes,1,90.9,1,1131.08,Home Improvement,26300.0,6.8,Yes,1
SHG20081,Uttar Pradesh,Women SHG,11,27,42.2,100.0,55.57,906.04,70.0,72.5,25,No,1,78.9,0,8044.29,Home Improvement,25400.0,9.9,Yes,0
SHG20082,Andhra Pradesh,Farmer Producer Group,13,16,53.3,60.6,79.68,979.81,85.2,75.4,10,Yes,1,32.4,0,26767.79,Home Improvement,6200.0,6.1,Yes,1
SHG20083,Kerala,Women SHG,9,55,39.4,50.3,136.73,4561.53,68.5,47.1,34,Yes,1,63.1,0,22802.16,Livestock,32600.0,4.6,No,1
SHG20084,Maharashtra,Women SHG,12,28,40.6,51.7,40.63,904.55,77.3,96.4,25,Yes,0,,0,0.0,Home Improvement,9000.0,7.0,No,1
SHG20085,Kerala,Women SHG,13,22,25.6,48.1,41.85,712.45,89.8,86.2,13,No,0,,0,0.0,Livestock,15200.0,7.7,Yes,0
SHG20086,Uttar Pradesh,Farmer Producer Group,18,15,33.3,12.7,79.85,1593.22,82.4,74.0,13,Yes,0,,0,0.0,Agriculture,29000.0,9.4,No,0
SHG20087,Telangana,Farmer Producer Group,13,16,22.4,73.7,59.56,672.26,55.0,87.1,15,Yes,0,,0,0.0,Livestock,67300.0,6.9,Yes,1
SHG20088,Maharashtra,Women SHG,14,15,43.6,84.6,26.16,309.96,17.3,64.8,13,Yes,0,,0,0.0,Emergency/Consumption,50900.0,8.5,Yes,1
SHG20089,Andhra Pradesh,Mixed SHG,15,17,45.7,42.4,213.09,3119.56,52.5,95.2,11,Yes,2,52.6,1,2681.62,Emergency/Consumption,22300.0,6.5,Yes,1
SHG20090,Uttar Pradesh,Women SHG,9,15,33.4,68.1,20.0,204.29,63.9,58.7,11,Yes,2,71.2,0,21517.02,Emergency/Consumption,13600.0,5.4,Yes,1
SHG20091,Odisha,Women SHG,14,51,28.6,93.8,375.8,22134.36,75.5,75.8,47,No,0,,0,0.0,Small Business,20500.0,5.6,Yes,0
SHG20092,Kerala,Women SHG,15,11,30.2,60.4,182.5,2126.33,97.0,66.3,6,Yes,3,90.7,1,17693.18,Agriculture,17200.0,8.8,Yes,1
SHG20093,Telangana,Women SHG,16,11,40.9,69.7,77.93,719.29,84.8,74.6,9,Yes,1,82.8,0,35207.06,Agriculture,61500.0,7.3,Yes,1
SHG20094,Uttar Pradesh,Women SHG,14,38,35.5,53.6,22.22,652.7,50.5,73.7,36,Yes,0,,0,0.0,Agriculture,14300.0,6.8,Yes,1
SHG20095,Odisha,Women SHG,14,29,50.3,62.2,166.71,4375.35,91.8,83.1,27,Yes,0,,0,0.0,Home Improvement,24100.0,4.7,No,1
SHG20096,West Bengal,Mixed SHG,20,61,36.2,72.1,112.0,6881.85,57.5,29.4,35,No,1,60.2,1,20951.52,Agriculture,23800.0,4.4,Yes,1
SHG20097,Maharashtra,Women SHG,15,14,39.7,45.6,323.26,4249.97,74.3,90.8,8,Yes,2,43.2,1,16890.79,Emergency/Consumption,30600.0,5.8,No,0
SHG20098,Bihar,Women SHG,18,14,31.7,73.9,42.82,670.93,56.4,44.4,7,Yes,1,98.1,0,22235.89,Small Business,28900.0,8.6,No,0
SHG20099,West Bengal,Women SHG,12,21,36.8,44.0,100.66,1561.0,80.4,25.8,16,Yes,4,83.3,0,38601.43,Small Business,5000.0,5.3,Yes,1
SHG20100,Karnataka,Mixed SHG,18,30,42.1,40.3,67.19,1900.2,66.5,64.0,16,Yes,0,,0,0.0,Emergency/Consumption,32100.0,8.6,Yes,1
SHG20101,West Bengal,Women SHG,8,21,41.2,49.8,36.9,510.59,83.2,90.4,17,Yes,2,77.7,0,4703.3,Education,18100.0,7.5,Yes,1
SHG20102,Odisha,Farmer Producer Group,17,23,38.1,57.4,287.92,8942.64,54.7,36.4,13,Yes,1,87.9,1,10898.42,Agriculture,17900.0,5.3,No,1
